번호,작가,작품명,제작연도,재료,규격,부문,관리번호,작품 설명,작품이미지,이미지
1.0,이중섭,포도 따는 남자,194,"종이에 펜, 수채 물감",14 x 9,드로잉,10090.0,"대향(大鄕) 이중섭(李仲燮, 1916-1956)은 평안북도 정주의 오산고등보통학교에서 서양화가 임용련, 백남순 부부에게 서양화를 배웠다. 이후 1936년 일본으로 건너가 데이코쿠미술학교(帝国美術学校)와 분카학원(文化学院)에서 미술을 전공했다. 추상 미술단체인 ‘자유미술가협회(自由美術家協会)’의 전시회에 지속적으로 출품하였으며, 제7회전(1943)에서는 태양상(太陽賞)을 수상했다. 1943년 귀국 후에는 생활고와 병으로 고생하면서도 꾸준히 작품을 제작했다.


이중섭은 소, 아이들 등을 주요 소재로 고분 벽화와 민화 등 전통적이고 토속적인 것에 영감을 받아 표현주의적인 감각으로 작품을 제작했다. 이중섭의 작품에서는 그의 삶을 엿볼 수 있다. 동경의 분카학원에서 야마모토 마사코와 연애하던 시기의 엽서화에는 두 사람의 연인관계를 암시하는 환상적이고 초현실주의적인 이미지를 그렸다. 한국 전쟁기 제주도 피란시절 작품에는 가족과 행복했던 나날들이 소박하게 표현되었으며, 가족을 일본으로 보낸 후에는 삭막한 풍경화와 전쟁의 은유들이 그려졌다. 그는 열악한 경제 상황과 재료 부족에도 끊임없이 새로운 기법과 재료를 실험했는데, 담배를 싼 은지를 활용한 은지화가 대표적인 예이다. 전쟁이 끝난 후에는 가족을 만나려는 생각에 작품 제작에 몰두하여, 당당하고 힘찬 기세가 화면에 나타난다. 그러나 곧 경제적 어려움과 정신질환 등에 시달리며 가족과 재회할 수 있으리라는 희망이 사라졌을 때에는 초점을 잃은 흐릿한 풍경들이 애잔하게 펼쳐졌다.


〈포도 따는 남자〉는 자신의 몸보다 큰 포도 아래 쭈그린 자세로 앉아있는 인물을 그린 작품이다. 그림의 전경 부분은 펜으로 테두리를 그린 반면 포도가 매달려 있는 줄기와 배경의 인물은 수채 물감으로만 그려 흐릿하게 보이는 먼 공간을 표현했다. 포도알 하나가 인물의 손보다 크게 그려져 있어 상상적 풍경에 가까운 모습이라는 것을 알 수 있다. 그림 속 포도를 따는 모습은 노동의 현장이기보다는 풍요로운 동산에서 자유롭게 수확하고 있는 느낌의 그림으로 프랑스의 화가 폴 고갱(Paul Gauguin)의 타히티 시절 그림을 연상시키기도 한다.


",1.0,1.jpg
2.0,김기창,진돗개,1975,"종이에 먹, 색",66.3 x 95.6,회화1,9172.0,"운보(雲甫) 김기창(金基昶, 1914-2001)은 어렸을 때 장티푸스에 걸려 청각장애를 갖게 되었다. 17세에 이당(以堂) 김은호(金殷鎬, 1892-1979)의 문하에 들어가 동양화를 사사하였다. 1931년 《제10회 조선미술전람회》에 처음 입선하여 두각을 나타내기 시작했고, 1937년 《제16회 조선미술전람회》부터 1940년 《제19회 조선미술전람회》까지는 연속으로 4회 특선하여 추천작가가 되었다. 1942, 1943년에는 군국주의를 찬양하는 ≪반도총후미술전≫, ≪애국백인일수전람회≫에 출품하기도 했다. 작가는 운포(雲圃)라는 호를 썼으나, 광복 후에는 운보(雲甫)라고 쓰기 시작했으며 일본화풍 청산을 위해 적극적인 모색의 시간을 보냈다. 이후 1947년에 우향(雨鄕) 박래현(朴崍賢, 1920-1976)과 결혼하면서, 1947년부터 1972년까지 거의 매해 부부전을 개최했다. 한국 전쟁 때 군산으로 피난 가 있는 동안 반추상과 입체주의를 도입한 새로운 양식의 동양화를 실험하면서 점차 추상과 구상을 자유롭게 넘나드는 폭넓은 창작 세계를 보여주었다. 1957년에 새로운 민족예술의 개척을 목적으로 한 백양회(白陽會)를 결성하여 활동하였다.


<진돗개>는 조화로운 색채와 적절한 먹의 농담 표현으로 개의 모습을 생동감 있게 전달한 작품이다. 어미 진돗개와 세 마리의 새끼가서로 엉겨 있는 모양새와 호기심 넘치는 표정에서 따뜻한 가족애가 느껴진다. 동아시아 문화권에서 화목한 동물의 모습을 묘사한 모견도는 영모화의 오랜 주제였으나, 김기창은 이를 현대 동양화로 재해석했다. 노랗게 핀 개나리꽃과 푸른 풀밭 배경은 싱그러운 봄날의 한가로운 한 때를 더욱 부각시키고 있다.작가는 세밀한 관찰을 통해 어미개의 뻣뻣한 털과 새끼의 보송보송한 감촉을 화면에 옮겨냈다.",1.0,2.jpg
3.0,김기창,청산정경,1979,"비단에 먹, 색",68.2 x 136.6,회화1,9177.0,"운보(雲甫) 김기창(金基昶, 1914-2001)은 어렸을 때 장티푸스에 걸려 청각장애를 갖게 되었다. 17세에 이당(以堂) 김은호(金殷鎬, 1892-1979)의 문하에 들어가 동양화를 사사하였다. 1931년 《제10회 조선미술전람회》에 처음 입선하여 두각을 나타내기 시작했고, 1937년 《제16회 조선미술전람회》부터 1940년 《제19회 조선미술전람회》까지는 연속으로 4회 특선하여 추천작가가 되었다. 1942, 1943년에는 군국주의를 찬양하는 ≪반도총후미술전≫, ≪애국백인일수전람회≫에 출품하기도 했다. 작가는 운포(雲圃)라는 호를 썼으나, 광복 후에는 운보(雲甫)라고 쓰기 시작했으며 일본화풍 청산을 위해 적극적인 모색의 시간을 보냈다. 이후 1947년에 우향(雨鄕) 박래현(朴崍賢, 1920-1976)과 결혼하면서, 1947년부터 1972년까지 거의 매해 부부전을 개최했다. 한국 전쟁 때 군산으로 피난 가 있는 동안 반추상과 입체주의를 도입한 새로운 양식의 동양화를 실험하면서 점차 추상과 구상을 자유롭게 넘나드는 폭넓은 창작 세계를 보여주었다. 1957년에 새로운 민족예술의 개척을 목적으로 한 백양회(白陽會)를 결성하여 활동하였다.


<청산정경>은 김기창의 청록산수화로, 화면에는 군청색과 녹청색 계열로 채색한 큰 산을 배치하고, 푸른 산하와 그 사이를 은은하게 흐르는 계류를 묘사한 작품이다. 소를 타고 피리를 불며 유유자적하게 들판을 지나는 한 소년과, 멀리 석탑이 보이는 풍경은이상화된 낙원을 떠올리게 한다. 김기창은 1970년대 ‘청록산수’와 ‘바보산수’ 연작에 몰두했는데, 그가 선호했던 청록의 색은 전통의 민화와 맞닿아 있으면서도 우리 산하를 표현하는데 적합한 색채로 받아들여지면서 이 시기 그의 산수화를 정의하는 대표적 특징으로 부각된다.",1.0,3.jpg
4.0,이응노,구상,1974,"캔버스에 천, 콜라주",204 x 126,회화1,9909.0,"고암(顧庵) 이응노(李應魯, 1904-1989)는 1922년에 동양화가인 김규진에게 전통 회화를 사사했으며, 《제3회 조선미술전람회》(1924)에서 입선한 후 여러 차례 입선과 특선을 수상했다. 1935년에 일본으로 건너가 도쿄 가와바타미술학교(川端画学校) 동양화과에서 수학하고, 혼고회화연구소(本郷絵画硏究所)에서 서양화를 공부했다. 1945년 귀국 후에는 한국의 현실적이고 일상적인 풍경을 그린 반추상적 묵화(墨畫)를 제작하였다. 1948년부터 홍익대학교에서 교수로 재직하다가 1958년 프랑스로 건너가 앵포르멜 등의 국제적인 사조를 접하면서 콜라주(collage) 및 추상적인 묵화 작업을 선보이기 시작했다. 그러던 중 1967년 동백림 사건*에 연루되어 2년 반 동안(1967-1969) 옥살이를 하게 된다. 수감 중에도 이응노는 간장, 밥알, 화장지 등 사용할 수 있는 모든 것을 재료로 하여 많은 작품을 제작했으며, 1969년에 석방된 후 다시 프랑스로 돌아가 1970년대에는 문자추상을, 1980년대에는 인물화 연작인 '군상(群像)'을 그렸다.


<구성>은 이응노의 1970년대 문자추상 경향을 보여주는 대표적인 작품 중 하나이다. 작가는 거친 천 위에 다른 색 천으로 문자 형상을 붙인 후, 그 형상 주변을 붉은색 실로 꿰맨 것처럼 보이도록 처리하였다. 작가는 문자추상을 함께 다양한 조형적 실험을 한 것으로 보인다. 세라믹, 태피스트리 등으로의 영역 확장뿐만 아니라 평면 작품에서도 천과 콜라주(Collage)를 활용하는 등 재료의 변화를 시도했다. 화면의 문자는 한자로 추측되지만, 읽으려고 하면 무슨 글자인지 정확히 알 수 없다. 문자를 하나의 추상적 구조로 보았던 작가의 생각이 잘 드러나 있는 작품이다.


*동백림(東伯林: 당시 동독의 수도인 동베를린) 사건은 1967년 7월 8일에 중앙정보부가 화가 이응노, 작곡가 윤이상 등 예술인과 대학교수, 공무원 등 194명이 동베를린을 거점으로 간첩활동을 해왔다며 처벌한 사건이다. 이응노는 한국전쟁 때 소식이 끊긴 아들을 찾아 동베를린에 간 것으로 의심을 받고 이 사건에 연루되어 감옥살이를 하다가 1969년 3월에 석방되었다. 2006년에 국가정보원 과거사 진실규명위원회가 동백림 사건을 조사한 결과, 이 사건은 확대·과장된 측면이 있다고 밝혔다.",1.0,4.jpg
5.0,이응노,사자,1976,"종이에 먹, 색",42.7 x 59.5,회화1,9927.0,"고암(顧菴) 이응노(李應魯, 1904-1989)는 17세 무렵 서화가 송태회(宋泰會, 1872-1941)에게 사군자를 배우다가, 1922년 상경하여 해강(海岡) 김규진(金圭鎭, 1868-1933) 문하에서 본격적으로 서화를 익혔다. 30대 초반까지 사군자 전문 화가인 ‘죽사(竹史)’로 활동했으나, 1936년 일본으로 건너가 마쓰바야시 게이게쓰(松林桂月)에게 남화*를 배운 후 ‘고암(顧菴)’으로 호를 바꾸고 동양화가로 변모했다. 1950년대에는 전쟁 이후 폐허가 된 도시풍경과 서민의 일상을 남화 본연의 사의(寫意)성과 필묵미를 탐구한 서체적 반추상으로 그려내며 동양화의 현대화를 모색했다. 1958년 프랑스로 이주한 이후에는 앵포르멜(informel)과 동양화를 절충한 수묵 추상과 콜라주(collage)로 화단에서 입지를 구축했다. 1967년 동백림 사건**에 연루되어 옥고를 겪은 후, 1969년 프랑스로 돌아와 문자 추상 작업을 본격화했다. 말년인 1980년대에는 문자 추상을 발전시킨 독자적인 '군상(群像)' 시리즈를 창출했다.


<사자>는 옅은 미색으로 칠해진 배경에 화면 왼편을 향해 선 사자의 모습이 파묵***과 발묵****으로 개성 있게 표현된 작품이다. 꼬리의 일부분이 화면 밖으로 나가 잘린채 묘사된 점도 특이하다. 이 작품은 이응노 특유의 강한 서체적 필선과 산뜻한 담채를 통해 강인한 사자의 모습을 역동적으로 담아냈다.


*남화(南画)는 18-19세기 일본에서 유행한 회화 양식 중 하나로, 중국의 남종문인화 요소들을 독자적인 양식으로 재해석한 화풍이다.


**동백림(東伯林: 당시 동독의 수도인 동베를린) 사건은 1967년 7월 8일에 중앙정보부가 화가 이응노, 작곡가 윤이상 등 예술인과 대학교수, 공무원 등 194명이 동베를린을 거점으로 간첩활동을 해왔다며 처벌한 사건이다. 이응노는 한국전쟁 때 소식이 끊긴 아들을 찾아 동베를린에 간 것으로 의심을 받고 이 사건에 연루되어 감옥살이를 하다가 1969년 3월에 석방되었다. 2006년에 국가정보원 과거사 진실규명위원회가 동백림 사건을 조사한 결과, 이 사건은 확대·과장된 측면이 있다고 밝혔다.


***파묵(破墨)은 먹을 깨뜨린다는 뜻으로, 먹의 농담으로 대상의 입체감을 표현하는 방법이다.


****발묵(潑墨)은 준법을 거의 쓰지 않고 먹물이 번져 퍼지게 나타내는 기법이다.",1.0,5.jpg
6.0,이응노,폐허의 서울,1954,"종이에 먹, 색",50 x 63.5,회화1,9958.0,"고암(顧菴) 이응노(李應魯, 1904-1989)는 17세 무렵 서화가 송태회(宋泰會, 1872-1941)에게 사군자를 배우다가, 1922년 상경하여 해강(海岡) 김규진(金圭鎭, 1868-1933) 문하에서 본격적으로 서화를 익혔다. 30대 초반까지 사군자 전문 화가인 ‘죽사(竹史)’로 활동했으나, 1936년 일본으로 건너가 마쓰바야시 게이게쓰(松林桂月)에게 남화*를 배운 후 ‘고암(顧菴)’으로 호를 바꾸고 동양화가로 변모했다. 1950년대에는 전쟁 이후 폐허가 된 도시풍경과 서민의 일상을 남화 본연의 사의(寫意)성과 필묵미를 탐구한 서체적 반추상으로 그려내며 동양화의 현대화를 모색했다. 1958년 프랑스로 이주한 이후에는 앵포르멜(informel)과 동양화를 절충한 수묵 추상과 콜라주(collage)로 화단에서 입지를 구축했다. 1967년 동백림 사건**에 연루되어 옥고를 겪은 후, 1969년 프랑스로 돌아와 문자 추상 작업을 본격화했다. 말년인 1980년대에는 문자 추상을 발전시킨 독자적인 '군상(群像)' 시리즈를 창출했다.


이응노는 광복 이후 장식적이고 피상적인 동양화의 아카데미즘에 대한 반성과 미술계의 국제화 움직임에 따라, 시대성과 민족성을 반영한 동양화를 모색했다. 시장, 일상생활 같은 자전적 풍경을 파묵과 감필로 현장감 있게 그려낸 것이 특징이다. <폐허의 서울>은 이 시기 작품으로, 전경의 ‘문가식당’과 그 뒤로 바위산처럼 우뚝 솟은 부서진 벽돌 건물의 위태로운 모습 등을 통해 당시의 황폐하고 혼란스러운 풍경을 담아냈다. 또한 가판대에 자리를 지키고 있는 한복 차림의 여인들과 마을을 벗어나는 현대 여성의 뒷모습이 대조되어 당시의 시대상을 상징적으로 보여 준다.


*남화(南画)는 18-19세기 일본에서 유행한 회화 양식 중 하나로, 중국의 남종문인화 요소들을 독자적인 양식으로 재해석한 화풍이다.


**동백림(東伯林: 당시 동독의 수도인 동베를린) 사건은 1967년 7월 8일에 중앙정보부가 화가 이응노, 작곡가 윤이상 등 예술인과 대학교수, 공무원 등 194명이 동베를린을 거점으로 간첩활동을 해왔다며 처벌한 사건이다. 이응노는 한국전쟁 때 소식이 끊긴 아들을 찾아 동베를린에 간 것으로 의심을 받고 이 사건에 연루되어 감옥살이를 하다가 1969년 3월에 석방되었다. 2006년에 국가정보원 과거사 진실규명위원회가 동백림 사건을 조사한 결과, 이 사건은 확대·과장된 측면이 있다고 밝혔다.


 ",1.0,6.jpg
7.0,이응노,달과 염소,1955,"종이에 먹, 색",26.4 x 39,회화1,9954.0,"고암(顧菴) 이응노(李應魯, 1904-1989)는 17세 무렵 서화가 송태회(宋泰會, 1872-1941)에게 사군자를 배우다가, 1922년 상경하여 해강(海岡) 김규진(金圭鎭, 1868-1933) 문하에서 본격적으로 서화를 익혔다. 30대 초반까지 사군자 전문 화가인 ‘죽사(竹史)’로 활동했으나, 1936년 일본으로 건너가 마쓰바야시 게이게쓰(松林桂月)에게 남화*를 배운 후 ‘고암(顧菴)’으로 호를 바꾸고 동양화가로 변모했다. 1950년대에는 전쟁 이후 폐허가 된 도시풍경과 서민의 일상을 남화 본연의 사의(寫意)성과 필묵미를 탐구한 서체적 반추상으로 그려내며 동양화의 현대화를 모색했다. 1958년 프랑스로 이주한 이후에는 앵포르멜(informel)과 동양화를 절충한 수묵 추상과 콜라주(collage)로 화단에서 입지를 구축했다. 1967년 동백림 사건**에 연루되어 옥고를 겪은 후, 1969년 프랑스로 돌아와 문자 추상 작업을 본격화했다. 말년인 1980년대에는 문자 추상을 발전시킨 독자적인 '군상(群像)' 시리즈를 창출했다.


<달과 염소>는 부채모양의 화면에 푸른 달을 배경으로 서 있는 두 마리의 양을 그린 작품이다. 한 마리는 정면을 보고, 나머지 한 마리는 가로로 서서 오른편을 보는 수직과 수평적 구성을 조합해 단조로움을 깼다. 양의 세부 표현도 오른쪽 양은 여백을 두고, 왼쪽 양은 감필(減筆)로 빠르게 비백(飛白)을 두고 그린 후, 담채(淡彩)를 더해 비움과 채움이 조화를 이루고 있다. 강조된 뿔과 강한 서체적 필선 등에서 문자 추상적 조형 요소를 감지할 수 있다.


*남화(南画)는 18-19세기 일본에서 유행한 회화 양식 중 하나로, 중국의 남종문인화 요소들을 독자적인 양식으로 재해석한 화풍이다.


**동백림(東伯林: 당시 동독의 수도인 동베를린) 사건은 1967년 7월 8일에 중앙정보부가 화가 이응노, 작곡가 윤이상 등 예술인과 대학교수, 공무원 등 194명이 동베를린을 거점으로 간첩활동을 해왔다며 처벌한 사건이다. 이응노는 한국전쟁 때 소식이 끊긴 아들을 찾아 동베를린에 간 것으로 의심을 받고 이 사건에 연루되어 감옥살이를 하다가 1969년 3월에 석방되었다. 2006년에 국가정보원 과거사 진실규명위원회가 동백림 사건을 조사한 결과, 이 사건은 확대·과장된 측면이 있다고 밝혔다.",1.0,7.jpg
8.0,이용우,삼고초려,1940,"종이에 먹, 색",130.5 x 119.5,회화,9903.0,"묵로(墨鷺) 이용우(李用雨, 1902-1952)는 1911년 만 아홉 살이라는 나이에 서화미술회 1기생으로 입학해 심전 안중식(安中植, 1861-1919)과 소림 조석진(趙錫晋, 1853-1920)에게서 서화를 배웠다. 1918년 서화협회의 최연소 정회원이 되었으며, 《조선미술전람회》,《서화협회전람회》에 작품을 출품하고 동연사(同硏社)를 결성하는 등의 활동을 통해 동양화가로서 입지를 다졌다. 1920년대 후반에는 동아일보·조선일보의 연작소설 삽화가로 잠깐 활동한 바 있다. 최우석(崔禹錫, 1899-1964)과 교유가 깊었으며, 함께 조선서화미술원을 운영하기도 했다. 해방 이후, 《제1회 대한민국미술전람회》의 동양화부 심사위원으로 위촉되기도 하였으나, 1950년 한국전쟁 당시 전주로 피난하러 간 후 전주에서 작품 활동을 했다.


<삼고초려>는 유비가 제갈량을 초빙하기 위해 초옥을 세 번 찾아간다는 내용의 ‘삼고초려(三顧草廬)’를 그린 고사인물화*이다. 근경에 큰 괴석과 자연물을 배치하였고 중경에 인물들의 모습을, 멀리 원경에 이들이 타고 온 말과 자연풍경을 묘사했다. 관우와 장비는 문밖에서 기다리고 있으며, 유비는 마당에서 제갈량을 향해 예를 표하고 있다. 제갈량은 초옥 내에서 서책에 기대어 편안하고 초연한 모습으로 묘사되어 고사의 내용을 생생하게 전달한다. 이용우는 1940년대에 고사인물도와 풍속화를 많이 그렸으며, 특유의 섬세한 필치와 화려하고 맑은 색감이 특징적이다. 작품 상단에는 당시 전주화단을 대표하는 효산(曉山) 이광렬(李光烈, 1885-1966)의 화제(畵題)를 확인할 수 있어 이용우와 전주화단과의 관계를 짐작할 수 있다.


*고사 인물화는 설화나 신화, 소설, 역사 속 특정 인물과 관련된 일화들을 주제로 그린 그림이다. 한국에서는 고려 시대부터 그려지기 시작해 조선 시대에 많이 그려졌다. 특히 자연 속에서 은거(隱居)하는 인물의 이야기를 그린 그림은 문인이 지향하는 이상적인 삶을 시각적으로 재현하고, 감상자가 그 속에 자신을 투영하도록 하는 역할을 했다.


 


[화제풀이]


大厦將傾  큰 집이 장차 무너지려 하면 

一木難支  하나의 나무로 지탱하기 어렵네. 

巨匠睡起  거장이 잠에서 깨어나니 

三分已定  셋으로 나누는 계책이 벌써 정해졌네. 

  曉山題  효산 적음 ",1.0,8.jpg
9.0,김상우,마릴린,2009,캔버스에 유화 물감,105 x 105,회화2,9199.0,"김상우(金相佑, 1971- )는 중앙대학교 미술대학 및 동 대학원을 졸업하고, 러시아로 건너가 상트페테르부르크에서 미술을 공부했다. 그는 인물화를 실제 인체와 같은 크기로 제작해 관람자에게 마치 해당 인물을 직접 대면한 듯한 현장감을 선사한다. 작가는 10대 시절부터 세계 유명 인사들의 초상을 즐겨 그렸는데, 클린트 이스트우드(Clint Eastwood), 오드리 헵번(Audrey Hepburn) 등의 영화인과 사과를 한 입 깨문 스티브 잡스(Steve Jobs), 달에서 문워크(moonwalk) 중인 마이클 잭슨(Michael Jackson) 등이 주요 모델이었다. 특히 그는 미국의 영화배우 마릴린 먼로(Marilyn Monroe)의 초상을 약 100점 정도 제작하여 1950년대의 아이콘을 현대의 시각에서 재해석하고자 했다. 


<마릴린>은 마릴린 먼로(Marilyn Monroe)의 초상이 극사실주의적으로 묘사되어있는 작업이다. 그는 (2008)에서 인물의 형태를 왜곡해 시점에 따라 부피가 다르게 보이게 함으로써 현대미의 기준에 대한 고정관념을 파기하려 한 바 있다. 또 애플 창업주 스티브 잡스의 전기를 읽는 먼로, 스마트폰으로 음악을 듣는 먼로 등 현대적인 모습도 다수 그렸다. 이는 현실에서는 연결될 수 없는 두 개의 시공간을 이어 붙여 먼로에게 새 삶의 기회를 주기 위한 시도였다. 이 그림에서 작가는 마릴린 먼로의 머리카락 한 올 한 올과 피부 주름을 왜곡 없이 표현해, 대중의 환상을 충족시키려 자아를 숨겼던 배우의 진면모를 다시금 소개하고자 했다.",1.0,9.jpg
10.0,파블로 피카소,얼굴 197번,1963,"백토, 화장토, 에나멜 장식, 유약 시유",25.5 x 25.5 x 2.8,공예,10366.0,"파블로 피카소(Pablo Picasso, 1881–1973)는 스페인 말라가(Málaga)에서 태어나 미술 교사인 아버지에게 일곱살까지 미술 교육을 받고, 바르셀로나와 마드리드 미술학교를 거치며 일찌감치 아카데믹한 화풍으로 뛰어난 기량을 보였다. 1904년 파리로 건너가 영구 정착하였으며, 무쟁(Mougins)에서 사망하기까지 프랑스를 주 무대로 활동하면서 전 생애에 걸친 왕성한 창작활동을 펼쳤다. 가난과 우울, 내면의 고통을 청색의 단색조로 형상화하던 청색 시대(1901–1904)와 감상적인 주제와 색조의 장밋빛 시대(1904–1906)를 지나, 폴 세잔(Paul Cézanne, 1839-1906)과 원시미술의 영향을 받은 〈아비뇽의 여인들(Les Demoiselles d'Avignon)〉(1906–1907)을 통해 혁명적 화풍의 시작을 알렸다. 조르주 브라크(Georges Braque, 1882-1963)와 공동 창시한 큐비즘(1909–1919)을 통해 20세기의 새로운 조형 언어를 선보였으며 이후 신고전주 의와 초현실주의적 요소를 활용해 방대한 양의 회화, 조각, 드로잉, 판화, 공예 작품을 제작하였다. 또한 1937년에 제작한 〈게르니카(Guernica)〉를 통해 역사화를 부활시켰다. 피카소는 다양한 재료의 효과와 재질감의 대비로부터 나오는 표현성을 보편화시키고, 콜라주나 아상블라주와 같은 당대 혁신적인 조형 작업을 선보이며 장르 불문의 새로운 시각예술 언어를 제시하였다. 그는 인물 초상, 사생활의 소산, 생의 희비극, 정치적 메시지, 대담하고 우아한 에로티시즘 등 다양한 주제를 망라했다.


〈얼굴 197번〉은 제목에서도 알 수 있듯, 피카소가 조각과 회화, 도예를 가리지 않고 가장 많이 작업한 모티프인 ‘얼굴’을 소재로 하는 작품이다. 흰색 원형 접시를 배경으로 검은색 선이 얼굴의 이목구비를 단순하게 표현하고 있다. 또한 검은색 선은 접시의 테두리를 한 바퀴 감싸고 있는데, 이는 얼굴형을 나타내는 동시에 표현의 영역을 완결짓는다. 피카소는 옅은 하늘색으로 얼굴 오른쪽 홍조와 입술 아래 명암을 표현했으며, 그와 대칭으로 얼굴 왼쪽에 초록색 홍조와 입술 상단 명암을 표현했다. 동그란 눈과 한껏 올라간 입매가 자아내는 익살스럽고 장난기 넘치는 표정이 특징이다.",1.0,10.jpg
